MsgID.STATE,0.0000000,True,True,1
MsgID.LOCAL_VELOCITY,2975.4010000,0.0001247,0.0000445,-0.0000046
MsgID.GLOBAL_POSITION,0.0000000,-122.3974677,37.7924559,3.0720000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,2975.6510000,-0.1795337,0.0685191,-3.0722299
MsgID.LOCAL_VELOCITY,2975.6510000,0.0001187,0.0000031,-0.0000868
MsgID.GLOBAL_POSITION,0.0000000,-122.3974694,37.7924572,3.0620000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,2975.9010000,-0.0177574,-0.0917332,-3.0610790
MsgID.LOCAL_VELOCITY,2975.9010000,0.0001207,0.0000235,0.0000394
MsgID.GLOBAL_POSITION,0.0000000,-122.3974689,37.7924578,3.0560000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,2976.1520000,0.0246976,-0.0302330,-3.0565848
MsgID.LOCAL_VELOCITY,2976.1520000,0.0001965,0.0000780,-0.0000973
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974685,37.7924575,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974693,37.7924578,3.0600000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,2976.4020000,0.0183362,-0.0854988,-3.0623713
MsgID.LOCAL_VELOCITY,2976.4020000,0.0001365,0.0001007,-0.0000928
MsgID.GLOBAL_POSITION,0.0000000,-122.3974711,37.7924573,3.0780000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,2976.6520000,-0.0257749,-0.2268720,-3.0787547
MsgID.LOCAL_VELOCITY,2976.6520000,0.0000996,0.0000031,-0.0000774
MsgID.GLOBAL_POSITION,0.0000000,-122.3974711,37.7924583,3.1040000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,2976.9020000,0.1006731,-0.2164761,-3.1083927
MsgID.LOCAL_VELOCITY,2976.9020000,0.0001035,0.0000143,0.0000244
MsgID.GLOBAL_POSITION,0.0000000,-122.3974708,37.7924581,3.1400000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,2977.1520000,0.0583032,-0.2056188,-3.1400599
MsgID.LOCAL_VELOCITY,2977.1520000,0.0001009,0.0000454,0.0000101
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974685,37.7924575,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974697,37.7924572,3.1720000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,2977.4020000,-0.0348783,-0.0735446,-3.1768415
MsgID.LOCAL_VELOCITY,2977.4020000,0.0000907,0.0000019,0.0000363
MsgID.GLOBAL_POSITION,0.0000000,-122.3974678,37.7924572,3.2040000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,2977.6520000,-0.0349452,0.0620744,-3.2046463
MsgID.LOCAL_VELOCITY,2977.6520000,0.0000974,0.0000571,-0.0001022
MsgID.GLOBAL_POSITION,0.0000000,-122.3974691,37.7924572,3.2240000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,2977.9020000,-0.0346182,-0.0624905,-3.2263908
MsgID.LOCAL_VELOCITY,2977.9020000,0.0001508,0.0000307,-0.0000926
MsgID.GLOBAL_POSITION,0.0000000,-122.3974692,37.7924572,3.2310000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,2978.1530000,-0.0349591,-0.0587368,-3.2319481
MsgID.LOCAL_VELOCITY,2978.1530000,0.0001102,0.0000110,0.0000326
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974685,37.7924575,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974687,37.7924572,3.2200000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,2978.4030000,-0.0296669,-0.0196090,-3.2176032
MsgID.LOCAL_VELOCITY,2978.4030000,0.0001617,0.0000312,-0.0000140
MsgID.GLOBAL_POSITION,0.0000000,-122.3974692,37.7924577,3.1860000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,2978.6540000,0.0146764,-0.0591953,-3.1854501
MsgID.LOCAL_VELOCITY,2978.6540000,0.0001354,0.0000640,0.0000302
MsgID.GLOBAL_POSITION,0.0000000,-122.3974689,37.7924580,3.1400000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,2978.9050000,0.0712255,-0.0390729,-3.1330307
MsgID.LOCAL_VELOCITY,2978.9050000,0.0001717,0.0000414,0.0000189
MsgID.GLOBAL_POSITION,0.0000000,-122.3974706,37.7924588,3.0790000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,2979.1550000,0.1423196,-0.1881772,-3.0778961
MsgID.LOCAL_VELOCITY,2979.1550000,0.0001154,0.0000949,-0.0000486
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974685,37.7924575,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974699,37.7924576,3.0270000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,2979.4050000,-0.0190351,-0.0854081,-3.0204391
MsgID.LOCAL_VELOCITY,2979.4050000,0.0001421,-0.0000003,-0.0000857
MsgID.GLOBAL_POSITION,0.0000000,-122.3974681,37.7924569,2.9810000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,2979.6550000,-0.0633653,0.0343671,-2.9801648
MsgID.LOCAL_VELOCITY,2979.6550000,0.0001675,0.0000473,0.0000156
MsgID.GLOBAL_POSITION,0.0000000,-122.3974705,37.7924572,2.9590000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,2979.9050000,-0.0349454,-0.1903657,-2.9578025
MsgID.LOCAL_VELOCITY,2979.9050000,0.0000981,0.0000116,-0.0000426
MsgID.GLOBAL_POSITION,0.0000000,-122.3974695,37.7924572,2.9580000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,2980.1550000,-0.0364008,-0.0811577,-2.9593523
MsgID.LOCAL_VELOCITY,2980.1550000,0.0000956,0.0000483,0.0000045
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974685,37.7924575,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974700,37.7924569,2.9780000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,2980.4050000,-0.0715725,-0.1587439,-2.9822283
MsgID.LOCAL_VELOCITY,2980.4050000,0.0001566,0.0000336,0.0000098
MsgID.GLOBAL_POSITION,0.0000000,-122.3974709,37.7924579,3.0160000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,2980.6550000,0.0467747,-0.2068017,-3.0175898
MsgID.LOCAL_VELOCITY,2980.6550000,0.0001109,0.0000765,0.0000074
MsgID.GLOBAL_POSITION,0.0000000,-122.3974695,37.7924588,3.0580000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,2980.9050000,0.1385498,-0.0778366,-3.0643699
MsgID.LOCAL_VELOCITY,2980.9050000,0.0000833,0.0000446,-0.0000977
MsgID.GLOBAL_POSITION,0.0000000,-122.3974696,37.7924576,3.1080000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,2981.1550000,0.0011316,-0.0988716,-3.1108229
MsgID.LOCAL_VELOCITY,2981.1550000,0.0000946,0.0000527,-0.0000190
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974685,37.7924575,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974712,37.7924572,3.1500000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,2981.4050000,-0.0359076,-0.2518172,-3.1559021
MsgID.LOCAL_VELOCITY,2981.4050000,0.0001190,0.0000794,-0.0000152
MsgID.GLOBAL_POSITION,0.0000000,-122.3974707,37.7924572,3.1880000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,2981.6550000,-0.0349452,-0.1860150,-3.1894755
MsgID.LOCAL_VELOCITY,2981.6550000,0.0000768,0.0000531,0.0000319
MsgID.GLOBAL_POSITION,0.0000000,-122.3974694,37.7924572,3.2110000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,2981.9060000,-0.0385882,-0.0734625,-3.2136726
MsgID.LOCAL_VELOCITY,2981.9060000,0.0000889,0.0000462,-0.0000956
MsgID.GLOBAL_POSITION,0.0000000,-122.3974693,37.7924562,3.2270000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,2982.1560000,-0.1491655,-0.0689896,-3.2276378
MsgID.LOCAL_VELOCITY,2982.1560000,0.0001165,0.0000180,0.0000382
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974685,37.7924575,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974695,37.7924566,3.2340000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,2982.4060000,-0.0724871,-0.0974594,-3.2356482
MsgID.LOCAL_VELOCITY,2982.4060000,0.0001310,0.0000822,-0.0000938
MsgID.GLOBAL_POSITION,0.0000000,-122.3974711,37.7924585,3.2390000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,2982.6560000,0.1071535,-0.2306248,-3.2396052
MsgID.LOCAL_VELOCITY,2982.6560000,0.0001064,0.0000541,0.0000105
MsgID.GLOBAL_POSITION,0.0000000,-122.3974713,37.7924587,3.2410000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,2982.9060000,0.1264730,-0.2380534,-3.2417896
MsgID.LOCAL_VELOCITY,2982.9060000,0.0001170,0.0000362,0.0000372
MsgID.GLOBAL_POSITION,0.0000000,-122.3974700,37.7924580,3.2420000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,2983.1560000,0.0416304,-0.1279786,-3.2430050
MsgID.LOCAL_VELOCITY,2983.1560000,0.0001733,0.0000378,-0.0000942
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974685,37.7924575,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974693,37.7924568,3.2430000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,2983.4060000,-0.0891945,-0.0695113,-3.2434275
MsgID.LOCAL_VELOCITY,2983.4060000,0.0001250,0.0000940,-0.0001112
MsgID.GLOBAL_POSITION,0.0000000,-122.3974693,37.7924567,3.2420000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,2983.6560000,-0.0859357,-0.0689896,-3.2419813
MsgID.LOCAL_VELOCITY,2983.6560000,0.0001474,0.0000248,0.0000087
MsgID.GLOBAL_POSITION,0.0000000,-122.3974693,37.7924575,3.2370000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,2983.9060000,0.0120473,-0.0683950,-3.2360697
MsgID.LOCAL_VELOCITY,2983.9060000,0.0001853,0.0000783,-0.0000133
MsgID.GLOBAL_POSITION,0.0000000,-122.3974682,37.7924588,3.2230000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,2984.1560000,0.1428301,0.0329627,-3.2229340
MsgID.LOCAL_VELOCITY,2984.1560000,0.0001336,0.0000631,0.0000290
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974685,37.7924575,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974684,37.7924585,3.2030000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,2984.4060000,0.0927000,-0.0169403,-3.1998508
MsgID.LOCAL_VELOCITY,2984.4060000,0.0001138,0.0000819,0.0000039
MsgID.GLOBAL_POSITION,0.0000000,-122.3974708,37.7924573,3.1700000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,2984.6560000,-0.0237964,-0.2025197,-3.1689477
MsgID.LOCAL_VELOCITY,2984.6560000,0.0001104,0.0000133,0.0000380
MsgID.GLOBAL_POSITION,0.0000000,-122.3974697,37.7924572,3.1380000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,2984.9060000,-0.0349452,-0.0885644,-3.1337602
MsgID.LOCAL_VELOCITY,2984.9060000,0.0001228,0.0000596,-0.0000948
MsgID.GLOBAL_POSITION,0.0000000,-122.3974693,37.7924572,3.1020000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,2985.1570000,-0.0350084,-0.0631974,-3.1007388
MsgID.LOCAL_VELOCITY,2985.1570000,0.0000939,0.0000066,0.0000346
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974685,37.7924575,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974688,37.7924572,3.0770000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,2985.4070000,-0.0350964,-0.0190706,-3.0748954
MsgID.LOCAL_VELOCITY,2985.4070000,0.0001454,0.0000241,-0.0000932
MsgID.GLOBAL_POSITION,0.0000000,-122.3974689,37.7924572,3.0600000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,2985.6570000,-0.0349452,-0.0373290,-3.0597794
MsgID.LOCAL_VELOCITY,2985.6570000,0.0000941,0.0000124,0.0000410
MsgID.GLOBAL_POSITION,0.0000000,-122.3974692,37.7924572,3.0560000
